Discharge ;Reach;Campaign;Cl_mg/L;SO4_mg/L;NO3_mg/L;NH4_ugN/L;DOC_mgC/L;TDN_mgN/L;SRP_ugP/L;pH;Conductivity_uS/cm;Temperature_C;DO_%;Wet_width_m;Discharge_m3/s
Deba;Control;Jun'17;10.89;14.54;2.03;19.28571429;5.98;1.82;65;8.29;369;17.6;116.3;25.28;1.605
Deba;Control;Jun'18;16.1;31.8;2.84;20.62059871;3.874;1.527;26.33301744;8.36;506;18.4;116.3;20.37142857;2.611
Deba;Control;Oct'17;9.67;13.2;1.52;41.14285714;7.15;2.47;71;7.77;640;18.9;113.5666667;16.65909091;0.445
Deba;Diverted;Jun'17;9.2;13.83;1.91;21.85714286;5.75;1.72;44;8.162;416;17.3;114.8333333;17.15;1.188
Deba;Diverted;Jun'18;12.9;31.4;2.49;14.34988666;6.051;1.478;23.75664315;8.21;485;17.8;99.1;16.175;0.911
Deba;Diverted;Oct'17;15.01;14.83;2.27;37.28571429;6.63;2.63;80;8.07;625;18.6;103.6;16.51;0.734
Kadagua;Control;Jun'17;6.82;19.55;0.76;68.14285714;7.09;1.66;46;8.187;613;21.3;97.1;22.43;1.217
Kadagua;Control;Jun'18;24.7;56.6;8.94;62.14664738;5.375;1.617;9.770611275;8.37;510;15.7;97;23;5.009
Kadagua;Control;Oct'17;11.32;31.34;0.99;39.85714286;6.73;1.33;39;7.92;634;13.2;96.93333333;17.15454545;1.486
Kadagua;Diverted;Jun'17;6.03;18.27;0.75;54;6.27;1.61;38;8.161;632;21.2;100.4;20.36388889;0.855
Kadagua;Diverted;Jun'18;8.43;21.8;1.31;67.16321702;9.047;1.242;8.298397394;8.46;503;16.4;104.3;15.74285714;0.6
Kadagua;Diverted;Oct'17;9.63;20.89;0.89;33.42857143;8.36;1.56;38;8.19;635;13.3;107.0666667;16.67272727;0.947
Leitzaran;Control;Jun'17;6.22;8.45;2.32;10.28571429;3.25;1;55;8.201;281;19.3;98.4;8.914285714;0.465
Leitzaran;Control;Jun'18;6.44;7.5;2.7;23.68628015;3.221;1.006;21.54832233;8.04;220;13.9;116.3;11.16666667;2.524
Leitzaran;Control;Oct'17;5.52;5.25;2.58;9;3.69;1.31;20;8.15;228;12.2;95.13333333;12.06666667;2.007
Leitzaran;Diverted;Jun'17;12.35;13.53;4.69;12.85714286;3.76;1.47;48;8.115;281;19.8;102.9;8.345454545;0.222
Leitzaran;Diverted;Jun'18;4;3.99;1.77;23.68628015;3.416;0.9203;17.13168068;8.12;217;15.2;103.5;9.27;2.26
Leitzaran;Diverted;Oct'17;4.31;4.03;1.96;5.142857143;4.73;1.39;22;8.18;229;12.2;100.6;8.531818182;0.222
Urumea;Control;Jun'17;3.67;2.49;1.4;10.28571429;1.97;0.96;9;7.76;85.4;17.2;103.5666667;21.11818182;1.743
Urumea;Control;Jun'18;6.97;4.16;2.82;18.66971052;1.634;0.7533;5.353969631;7.73;65;13.3;120.4;20.11764706;6.127
Urumea;Control;Oct'17;1.84;1.01;0.53;18;2.12;0.83;6;7.47;75;13.9;102.6666667;24.25454545;5.934
Urumea;Diverted;Jun'17;3.34;2.42;1.31;7.714285714;1.49;0.95;7;7.503;85.9;16.9;99.86666667;15.89;2.169
Urumea;Diverted;Jun'18;3.41;2.68;1.2;15.32533076;3.12;0.8792;9.770611275;7.69;64;13.1;122;17.67142857;1.45
Urumea;Diverted;Oct'17;2.24;1.2;0.61;27;2.64;0.8;13;7.43;75;15;103.8;13.1125;1.522
